Prev Time,Curr Time,Frame Dur,FrameRate,
107.957088,107.973663,0.01658,60.330347,
107.973663,107.990409,0.01675,59.714472,
107.990409,108.007091,0.01668,59.946395,
108.007091,108.024057,0.01697,58.940073,
108.024057,108.040527,0.01647,60.716884,
108.040527,108.057034,0.01651,60.582388,
108.057034,108.073772,0.01674,59.744223,
108.073772,108.090419,0.01665,60.068819,
108.090419,108.107112,0.01669,59.906081,
108.107112,108.123774,0.01666,60.017941,
108.123774,108.140406,0.01663,60.123262,
108.140406,108.157180,0.01677,59.617416,
108.157180,108.173921,0.01674,59.732776,
108.173921,108.190397,0.01648,60.694427,
108.190397,108.207078,0.01668,59.947548,
108.207078,108.223887,0.01681,59.491146,
108.223887,108.240322,0.01643,60.847229,
108.240322,108.265265,0.02494,40.091194,
108.265265,108.273684,0.00842,118.787366,
108.273684,108.290339,0.01665,60.042213,
108.290339,108.307280,0.01694,59.025993,
108.307280,108.323800,0.01652,60.535337,
108.323800,108.340432,0.01663,60.122103,
108.340432,108.357067,0.01664,60.113988,
108.357067,108.373764,0.01670,59.891121,
108.373764,108.390413,0.01665,60.066505,
108.390413,108.407404,0.01699,58.853292,
108.407404,108.423644,0.01624,61.576679,
108.423644,108.440343,0.01670,59.883069,
108.440343,108.457043,0.01670,59.879619,
108.457043,108.473698,0.01665,60.043369,
108.473698,108.490489,0.01679,59.553645,
108.490489,108.507014,0.01652,60.517712,
108.507014,108.523772,0.01676,59.669901,
108.523772,108.540391,0.01662,60.174319,
108.540391,108.556970,0.01658,60.317508,
108.556970,108.573753,0.01678,59.582098,
108.573753,108.590337,0.01658,60.300010,
108.590337,108.607006,0.01667,59.990226,
108.607006,108.623859,0.01685,59.337165,
108.623859,108.640403,0.01654,60.446142,
108.640403,108.657084,0.01668,59.947548,
108.657084,108.673692,0.01661,60.213832,
108.673692,108.690676,0.01698,58.878855,
108.690676,108.707148,0.01647,60.707426,
108.707148,108.723713,0.01657,60.367727,
108.723713,108.740373,0.01666,60.024874,
108.740373,108.757213,0.01684,59.381240,
108.757213,108.773865,0.01665,60.053778,
108.773865,108.790969,0.01710,58.465918,
108.790969,108.807032,0.01606,62.256629,
108.807032,108.823849,0.01682,59.463915,
108.823849,108.840651,0.01680,59.516130,
108.840651,108.857357,0.01671,59.856627,
108.857357,108.873880,0.01652,60.524761,
108.873880,108.890286,0.01641,60.950716,
108.890286,108.907044,0.01676,59.673327,
108.907044,108.923701,0.01666,60.034120,
108.923701,108.940361,0.01666,60.023718,
